Concept Precision   Recall  F1  support
site    0.6666666666666666  0.16666666666666666 0.26666666666666666 24
population  0.5 0.05263157894736842 0.09523809523809525 19
sauce   1.0 0.10526315789473684 0.1904761904761905  19
newspaper   0.5714285714285714  0.47058823529411764 0.5161290322580646  17
field   0.25    0.0625  0.1 16
performer   0.0 0.0 0.0 25
organism    0.0 0.0 0.0 14
scene   0.0 0.0 0.0 14
school  0.5 0.13333333333333333 0.2105263157894737  15
prescription_drug   0.7142857142857143  0.3125  0.43478260869565216 16
development 0.0 0.0 0.0 19
label   0.0 0.0 0.0 24
complication    0.5 0.2857142857142857  0.36363636363636365 14
mineral 0.7777777777777778  0.5833333333333334  0.6666666666666666  12
website 0.5238095238095238  0.39285714285714285 0.4489795918367347  28
hazard  1.0 0.13333333333333333 0.23529411764705882 15
keyword 0.0 0.0 0.0 13
manufacturer    0.75    0.14285714285714285 0.24    21
neighborhood    0.7272727272727273  0.16    0.2622950819672131  50
character   0.0 0.0 0.0 36
candidate   0.8333333333333334  0.13513513513513514 0.23255813953488372 37
course  0.0 0.0 0.0 6
dish    0.0 0.0 0.0 34
tool    0.5 0.09090909090909091 0.15384615384615385 11
member  0.0 0.0 0.0 23
sector  0.75    0.35294117647058826 0.48    17
condition   0.5 0.125   0.2 16
unit    0.75    0.125   0.21428571428571427 24
non_invasive    0.0 0.0 0.0 17
great   0.0 0.0 0.0 33
apps    0.5 0.07692307692307693 0.13333333333333336 13
employer    0.0 0.0 0.0 14
line    1.0 0.05    0.09523809523809523 20
club    0.8571428571428571  0.2727272727272727  0.41379310344827586 22
latin_american  0.0 0.0 0.0 15
operation   0.0 0.0 0.0 14
observer    0.0 0.0 0.0 15
tourist_attraction  0.2 0.05263157894736842 0.08333333333333333 19
incident    0.3333333333333333  0.1 0.15384615384615383 20
movie   0.8333333333333334  0.125   0.21739130434782608 40
theater 1.0 0.3 0.4615384615384615  20
pitcher 0.8333333333333334  0.17857142857142858 0.29411764705882354 28
road    0.875   0.25    0.3888888888888889  28
filling 0.0 0.0 0.0 12
process 0.6 0.23076923076923078 0.33333333333333337 13
boat    0.5 0.16666666666666666 0.25    6
opponent    0.0 0.0 0.0 26
patient 0.0 0.0 0.0 2
city    0.696969696969697   0.359375    0.4742268041237113  64
figure  0.0 0.0 0.0 26
writer  0.5 0.10810810810810811 0.17777777777777778 37
rival   0.0 0.0 0.0 20
wildlife    0.5 0.23076923076923078 0.3157894736842105  13
instrument  0.6666666666666666  0.5714285714285714  0.6153846153846153  21
decision    0.0 0.0 0.0 11
music   0.0 0.0 0.0 11
party   0.9090909090909091  0.38461538461538464 0.5405405405405405  26
driver  0.8260869565217391  0.48717948717948717 0.6129032258064516  39
pollutant   0.5 0.3888888888888889  0.43750000000000006 18
meal    0.0 0.0 0.0 17
food    1.0 0.16666666666666666 0.2857142857142857  24
child   0.0 0.0 0.0 11
Organisation    1.0 0.16666666666666666 0.2857142857142857  12
type    0.0 0.0 0.0 5
fish    0.9285714285714286  0.43333333333333335 0.5909090909090909  30
marker  0.0 0.0 0.0 8
agency  0.4 0.14285714285714285 0.21052631578947364 14
disorder    0.5 0.2 0.28571428571428575 15
legislation 0.0 0.0 0.0 13
medium_sized    0.0 0.0 0.0 12
channel 0.0 0.0 0.0 15
surgical_procedure  0.0 0.0 0.0 14
oil 0.0 0.0 0.0 11
association 0.0 0.0 0.0 8
appetizer   0.0 0.0 0.0 31
superstar   0.6666666666666666  0.10526315789473684 0.18181818181818182 19
recipe  0.25    0.02040816326530612 0.037735849056603765    49
friend  0.0 0.0 0.0 29
tactic  0.0 0.0 0.0 9
director    0.8135593220338984  0.6075949367088608  0.6956521739130435  79
agent   0.5 0.23529411764705882 0.31999999999999995 17
lake    0.4 0.1935483870967742  0.26086956521739135 31
side    1.0 0.05263157894736842 0.1 19
designer    0.6111111111111112  0.6666666666666666  0.6376811594202899  33
tradition   0.0 0.0 0.0 13
pathway 0.2 0.08333333333333333 0.11764705882352941 12
stalwart    0.0 0.0 0.0 14
medicine    0.4666666666666667  0.3684210526315789  0.4117647058823529  19
sign    0.0 0.0 0.0 13
target  0.0 0.0 0.0 14
machine 0.5 0.07142857142857142 0.125   14
Fan_Favorite    0.0 0.0 0.0 12
guy 0.0 0.0 0.0 47
musician    0.14285714285714285 0.023255813953488372    0.04    43
format  1.0 0.4 0.5714285714285715  10
literature  0.0 0.0 0.0 13
water_soluble   0.0 0.0 0.0 19
hospital    1.0 0.3333333333333333  0.5 18
carrier 0.7142857142857143  0.23809523809523808 0.35714285714285715 21
cut 0.8 0.2857142857142857  0.4210526315789473  14
athlete 0.7857142857142857  0.2894736842105263  0.423076923076923   38
specialist  0.7777777777777778  0.3333333333333333  0.4666666666666666  21
package 0.0 0.0 0.0 13
symbol  0.5 0.1111111111111111  0.1818181818181818  9
specialty   0.0 0.0 0.0 22
signing 0.5 0.05263157894736842 0.09523809523809525 19
paper   0.0 0.0 0.0 31
medium  0.6666666666666666  0.14285714285714285 0.23529411764705882 14
bird    0.6666666666666666  0.4864864864864865  0.5625  37
additive    1.0 0.21428571428571427 0.35294117647058826 14
hardware    0.0 0.0 0.0 9
sponsor 0.0 0.0 0.0 17
genus   0.0 0.0 0.0 11
employee    0.0 0.0 0.0 10
veteran 0.0 0.0 0.0 48
chef    0.875   0.7 0.7777777777777777  20
bar 0.0 0.0 0.0 7
sound   0.0 0.0 0.0 10
creature    0.0 0.0 0.0 10
design  0.0 0.0 0.0 25
celeb   0.3 0.14285714285714285 0.19354838709677416 21
magazine    0.5 0.1724137931034483  0.25641025641025644 29
influence   0.0 0.0 0.0 14
scholar 0.0 0.0 0.0 29
