Concept Precision   Recall  F1  support
hotel   0.5 0.35294117647058826 0.41379310344827586 17
trainer 1.0 0.23076923076923078 0.375   13
sandwich    0.0 0.0 0.0 11
senator 0.7272727272727273  0.4 0.5161290322580645  20
family  0.0 0.0 0.0 21
tenant  0.0 0.0 0.0 6
lawyer  0.42857142857142855 0.42857142857142855 0.42857142857142855 7
release 0.0 0.0 0.0 18
girl    0.0 0.0 0.0 10
feminist    0.0 0.0 0.0 13
Medical_Device  1.0 0.1111111111111111  0.19999999999999998 18
contractor  0.5 0.23076923076923078 0.3157894736842105  13
saint   0.6666666666666666  0.36363636363636365 0.4705882352941177  11
psychologist    0.0 0.0 0.0 15
mall    1.0 0.4375  0.6086956521739131  16
conductor   0.7333333333333333  0.36666666666666664 0.4888888888888889  30
aircraft    0.8 0.2857142857142857  0.4210526315789473  14
prospect    0.2222222222222222  0.08333333333333333 0.12121212121212122 24
beer    0.46153846153846156 0.4 0.42857142857142855 15
mps 0.22727272727272727 0.4166666666666667  0.29411764705882354 12
reservoir   0.0 0.0 0.0 7
condiment   1.0 0.14285714285714285 0.25    7
dancer  0.0 0.0 0.0 8
pesticide   1.0 0.5714285714285714  0.7272727272727273  7
accident    0.8 0.2857142857142857  0.4210526315789473  14
rookie  1.0 0.06666666666666667 0.125   15
reformer    0.5 0.1 0.16666666666666669 10
rapper  0.5 0.23076923076923078 0.3157894736842105  13
tumor   0.4444444444444444  0.19047619047619047 0.26666666666666666 21
winner  0.0 0.0 0.0 17
denomination    0.5 0.3333333333333333  0.4 6
ngos    0.75    0.1875  0.3 16
ship    0.0 0.0 0.0 13
garment 0.3333333333333333  0.25    0.28571428571428575 8
train   0.0 0.0 0.0 13
ophthalmologist 0.0 0.0 0.0 10
doctor  0.5 0.07692307692307693 0.13333333333333336 13
temple  0.0 0.0 0.0 10
